Nome da rota,Acessibilidade da rota
odete-rosado_cidade-oeste,1.0
bom-pastor_cidade-oeste,1.0
alto-das-brisas_abolicao-5,1.0
alto-das-brisas_partage-shopping,1.0
alto-das-brisas_bom-pastor,1.015356820234869
odete-rosado_bom-pastor,1.0637954239569312
teatro-municipal-dix-huit-rosado_alto-das-brisas,1.5000000000000144
bom-pastor_odete-rosado,1.999999999999981
alto-das-brisas_teatro-municipal-dix-huit-rosado,2.0
cidade-oeste_odete-rosado,2.0
alto-das-brisas_sumare,2.0
alto-das-brisas_nova-vida,2.0
cidade-oeste_bom-pastor,3.021810537380108
cidade-oeste_abolicao-5,3.0324532453245325
sumare_cidade-oeste,3.169014084507042
nova-vida_cidade-oeste,3.427536231884058
odete-rosado_nova-vida,3.89298669891173
cidade-oeste_nova-vida,3.963490099009901
cidade-oeste_nova-mossoro,3.9857533805537675
sumare_odete-rosado,3.9999999999999973
cidade-oeste_teatro-municipal-dix-huit-rosado,3.9999999999999996
cidade-oeste_partage-shopping,3.9999999999999996
nova-vida_odete-rosado,4.0
partage-shopping_sumare,4.000000000000002
odete-rosado_abolicao-5,4.502530933633296
cidade-oeste_sumare,4.644057439657806
odete-rosado_partage-shopping,5.438315734242802
nova-mossoro_abolicao-5,6.501026814527959
odete-rosado_teatro-municipal-dix-huit-rosado,7.186596887736199
abolicao-5_odete-rosado,7.976371645975171
abolicao-5_cidade-oeste,7.999999999999999
partage-shopping_bom-pastor,8.23943281566509
nova-mossoro_sumare,8.956891040277652
sumare_partage-shopping,8.97158841597192
partage-shopping_abolicao-5,9.159262866132295
bom-pastor_sumare,9.842334409548968
bom-pastor_partage-shopping,10.65463528443011
partage-shopping_nova-vida,11.394120542935509
partage-shopping_teatro-municipal-dix-huit-rosado,13.177905558459663
nova-mossoro_nova-vida,13.51978109679626
sumare_bom-pastor,13.908985603177229
partage-shopping_nova-mossoro,14.005900728913574
nova-mossoro_partage-shopping,14.049404996898087
nova-mossoro_teatro-municipal-dix-huit-rosado,14.385067346599415
sumare_abolicao-5,17.66366226124317
abolicao-5_nova-mossoro,18.38428652093249
sumare_teatro-municipal-dix-huit-rosado,21.362725553340493
abolicao-5_sumare,23.804450311144628
abolicao-5_bom-pastor,27.651612579121874
bom-pastor_nova-mossoro,29.175209116937065
bom-pastor_nova-vida,31.490288875230487
bom-pastor_teatro-municipal-dix-huit-rosado,33.013183794918746
bom-pastor_abolicao-5,36.65201072386058
teatro-municipal-dix-huit-rosado_odete-rosado,36.8292785898992
nova-vida_sumare,37.435770806442555
teatro-municipal-dix-huit-rosado_bom-pastor,40.254161661232196
abolicao-5_partage-shopping,44.576250992851456
abolicao-5_nova-vida,44.85856079404466
abolicao-5_teatro-municipal-dix-huit-rosado,45.8702923417749
sumare_nova-vida,47.59692517161174
nova-vida_bom-pastor,50.05053474580567
teatro-municipal-dix-huit-rosado_nova-mossoro,57.810801496652225
nova-vida_partage-shopping,62.48864882649704
nova-vida_abolicao-5,143.59713101392572
nova-vida_teatro-municipal-dix-huit-rosado,204.8294532155919
teatro-municipal-dix-huit-rosado_sumare,214.09769012675122
teatro-municipal-dix-huit-rosado_nova-vida,752.7523986958547
teatro-municipal-dix-huit-rosado_abolicao-5,910.1159205592332
